"This file contains political files uploaded by WPVI-TV during the years 2014 as of 2014-11-19 23:16:55.019030. This station serves PHILADELPHIA, PA in the PHILADELPHIA market and FCC's partyName--generally the owner-- is ABC, INC.. FCC records give the rfChannel as 6, virtualChannel as 6 and network affiiliate as ABC."
order_number,revision,product,flight_date_start,flight_date_end,advertiser,original_date,revision_date,agency_name,demographic,spots,gross,contract_type,file_url,upload_time,callsign,file_size,fcc_id,pdf_location,txt_location,Tagged,Producer,Creator,Encrypted,Author,File size,Optimized,PDF version,Title,Page size,CreationDate,Pages
59104,2,Norcross 10/7-10/13/14,10/07/14,10/13/14,"Norcross for Congress, Inc., Donald",09/12/14,10/01/14,"Campaign Group, The",Adults 35+,30,"$51,100.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Donald%20Norcross%20for%20Congress/Donals%20Norcross%2059104%20Rev%202%20%2814134081826878%29.pdf,2014-10-15 17:23:00,WPVI-TV,153.96 Kb,14134081826878,pdfs/14134081826878.pdf,txts/14134081826878.txt,no,ReportBuilder,,no,,157650 bytes,no,1.3,,612 x 792.003 pts (letter),Tue Oct  7 14:01:11 2014,4
59104,3,Norcross 10/7-10/13/14,10/07/14,10/13/14,"Norcross for Congress, Inc., Donald",09/12/14,10/06/14,"Campaign Group, The",Adults 35+,29,"$50,600.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Donald%20Norcross%20for%20Congress/Donals%20Norcross%2059104%20Rev%203%20%2814134081887867%29.pdf,2014-10-15 17:23:00,WPVI-TV,156.46 Kb,14134081887867,pdfs/14134081887867.pdf,txts/14134081887867.txt,no,ReportBuilder,,no,,160220 bytes,no,1.3,,612 x 792.003 pts (letter),Tue Oct  7 14:00:47 2014,4
59104,4,Norcross 10/7-10/13/14,10/07/14,10/13/14,"Norcross for Congress, Inc., Donald",09/12/14,10/09/14,"Campaign Group, The",Adults 35+,29,"$50,200.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Donald%20Norcross%20for%20Congress/Donals%20Norcross%2059104%20Rev%204%20%2814141642379350%29.pdf,2014-10-24 11:23:00,WPVI-TV,157.59 Kb,14141642379350,pdfs/14141642379350.pdf,txts/14141642379350.txt,no,ReportBuilder,,no,,161368 bytes,no,1.3,,612 x 792.003 pts (letter),Fri Oct 24 11:05:11 2014,4
59169,,Norcross for Congress,10/14/14,10/27/14,"Norcross for Congress, Inc., Donald",09/15/14,09/15/14,"Campaign Group, The",Adults 35+,82,"$125,400.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Donald%20Norcross%20for%20Congress/Donals%20Norcross%2059169%20Rev%200%20%2814134081026126%29.pdf,2014-10-15 17:21:00,WPVI-TV,183.37 Kb,14134081026126,pdfs/14134081026126.pdf,txts/14134081026126.txt,no,ReportBuilder,,no,,187767 bytes,no,1.3,,612 x 792.003 pts (letter),Thu Sep 18 16:10:23 2014,5
59169,1,Norcross for Congress,10/14/14,10/27/14,"Norcross for Congress, Inc., Donald",09/15/14,09/18/14,"Campaign Group, The",Adults 35+,85,"$130,600.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Donald%20Norcross%20for%20Congress/Donals%20Norcross%2059169%20Rev%201%20%2814141641609987%29.pdf,2014-10-24 11:22:00,WPVI-TV,183.69 Kb,14141641609987,pdfs/14141641609987.pdf,txts/14141641609987.txt,no,ReportBuilder,,no,,188103 bytes,no,1.3,,612 x 792.003 pts (letter),Fri Oct 24 11:00:12 2014,5
59169,2,Norcross for Congress,10/14/14,10/27/14,"Norcross for Congress, Inc., Donald",09/15/14,10/15/14,"Campaign Group, The",Adults 35+,88,"$130,800.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Donald%20Norcross%20for%20Congress/Donals%20Norcross%2059169%20Rev%202%20%2814141641757818%29.pdf,2014-10-24 11:22:00,WPVI-TV,209.72 Kb,14141641757818,pdfs/14141641757818.pdf,txts/14141641757818.txt,no,ReportBuilder,,no,,214757 bytes,no,1.3,,612 x 792.003 pts (letter),Fri Oct 24 11:00:46 2014,6
59169,3,Norcross for Congress,10/14/14,10/27/14,"Norcross for Congress, Inc., Donald",09/15/14,10/17/14,"Campaign Group, The",Adults 35+,92,"$130,750.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Donald%20Norcross%20for%20Congress/Donals%20Norcross%2059169%20Rev%203%20%2814141642014218%29.pdf,2014-10-24 11:23:00,WPVI-TV,211.85 Kb,14141642014218,pdfs/14141642014218.pdf,txts/14141642014218.txt,no,ReportBuilder,,no,,216933 bytes,no,1.3,,612 x 792.003 pts (letter),Fri Oct 24 11:01:49 2014,6
59169,4,Norcross for Congress,10/14/14,10/27/14,"Norcross for Congress, Inc., Donald",09/15/14,10/21/14,"Campaign Group, The",Adults 35+,93,"$130,750.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Donald%20Norcross%20for%20Congress/Donals%20Norcross%2059169%20Rev%204%20%2814141642127645%29.pdf,2014-10-24 11:23:00,WPVI-TV,212.17 Kb,14141642127645,pdfs/14141642127645.pdf,txts/14141642127645.txt,no,ReportBuilder,,no,,217264 bytes,no,1.3,,612 x 792.003 pts (letter),Fri Oct 24 11:02:26 2014,6
59169,4,Norcross for Congress,10/14/14,10/27/14,"Norcross for Congress, Inc., Donald",09/15/14,10/23/14,"Campaign Group, The",Adults 35+,96,"$136,550.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Donald%20Norcross%20for%20Congress/Donals%20Norcross%2059169%20Rev%204a%20%2814141642241378%29.pdf,2014-10-24 11:23:00,WPVI-TV,213.09 Kb,14141642241378,pdfs/14141642241378.pdf,txts/14141642241378.txt,no,ReportBuilder,,no,,218209 bytes,no,1.3,,612 x 792.003 pts (letter),Fri Oct 24 11:03:23 2014,6
59189,,Norcross for Congress 10/28-11/3/14,10/28/14,11/03/14,"Norcross for Congress, Inc., Donald",09/15/14,09/15/14,"Campaign Group, The",Adults 35+,39,"$75,850.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Donald%20Norcross%20for%20Congress/Donals%20Norcross%2059189%20Rev%200%20%2814134080901000%29.pdf,2014-10-15 17:21:00,WPVI-TV,153.88 Kb,14134080901000,pdfs/14134080901000.pdf,txts/14134080901000.txt,no,ReportBuilder,,no,,157574 bytes,no,1.3,,612 x 792.003 pts (letter),Thu Sep 18 16:12:41 2014,4
63030,,Congress 10/14-10/17,10/14/14,10/20/14,"Norcross for Congress, Inc., Donald",10/06/14,10/07/14,"Campaign Group, The",Adults 35+,12,"$22,850.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Donald%20Norcross%20for%20Congress/Donals%20Norcross%2063030%20Rev%200%20%2814134081490849%29.pdf,2014-10-15 17:22:00,WPVI-TV,151.17 Kb,14134081490849,pdfs/14134081490849.pdf,txts/14134081490849.txt,no,ReportBuilder,,no,,154796 bytes,no,1.3,,612 x 792.003 pts (letter),Tue Oct  7 14:07:21 2014,4
63030,1,Congress 10/14-10/17,10/14/14,10/20/14,"Norcross for Congress, Inc., Donald",10/06/14,10/10/14,"Campaign Group, The",Adults 35+,14,"$22,650.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Donald%20Norcross%20for%20Congress/Donals%20Norcross%2063030%20Rev%201%20%2814141642600078%29.pdf,2014-10-24 11:24:00,WPVI-TV,151.19 Kb,14141642600078,pdfs/14141642600078.pdf,txts/14141642600078.txt,no,ReportBuilder,,no,,154816 bytes,no,1.3,,612 x 792.003 pts (letter),Fri Oct 24 11:11:01 2014,4
63030,2,Congress 10/14-10/17,10/14/14,10/20/14,"Norcross for Congress, Inc., Donald",10/06/14,10/27/14,"Campaign Group, The",Adults 35+,14,"$18,650.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Donald%20Norcross%20for%20Congress/Donals%20Norcross%2063030%20Rev%202%20%2814157462987111%29.pdf,2014-11-11 17:51:00,WPVI-TV,151.19 Kb,14157462987111,pdfs/14157462987111.pdf,txts/14157462987111.txt,no,ReportBuilder,,no,,154819 bytes,no,1.3,,612 x 792.003 pts (letter),Tue Nov 11 10:48:03 2014,4
,,,,,,,,,,,,,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Donald%20Norcross%20for%20Congress/Donals%20Norcross%2063894%20Rev%200%20%2814134081430060%29.pdf,2014-10-15 17:22:00,WPVI-TV,159.57 Kb,14134081430060,pdfs/14134081430060.pdf,txts/14134081430060.txt,no,Adobe PSL 1.1e for Canon,Canon iR-ADV 6055  PDF,no,,163402 bytes,yes,1.4,,792 x 612 pts (letter),Wed Oct 15 17:09:59 2014,2
63894,1,Norcross add to week of 10/14,10/14/14,10/20/14,"Norcross for Congress, Inc., Donald",10/13/14,10/16/14,"Campaign Group, The",Households,17,"$29,350.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Donald%20Norcross%20for%20Congress/Donals%20Norcross%2063894%20Rev%201%20%2814141642478921%29.pdf,2014-10-24 11:24:00,WPVI-TV,152.35 Kb,14141642478921,pdfs/14141642478921.pdf,txts/14141642478921.txt,no,ReportBuilder,,no,,156006 bytes,no,1.3,,612 x 792.003 pts (letter),Fri Oct 24 11:08:56 2014,4
63894,2,Norcross add to week of 10/14,10/14/14,10/20/14,"Norcross for Congress, Inc., Donald",10/13/14,10/27/14,"Campaign Group, The",Households,17,"$25,350.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Donald%20Norcross%20for%20Congress/Donals%20Norcross%2063894%20Rev%202%20%2814157463195182%29.pdf,2014-11-11 17:51:00,WPVI-TV,152.36 Kb,14157463195182,pdfs/14157463195182.pdf,txts/14157463195182.txt,no,ReportBuilder,,no,,156012 bytes,no,1.3,,612 x 792.003 pts (letter),Mon Nov 10 17:13:04 2014,4
,,,,,,,,,,,,,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Donald%20Norcross%20for%20Congress/Donals%20Norcross%2064876%20Rev%200%20%2814141641396924%29.pdf,2014-10-24 11:22:00,WPVI-TV,143.45 Kb,14141641396924,pdfs/14141641396924.pdf,txts/14141641396924.txt,no,Adobe PSL 1.1e for Canon,Canon iR-ADV 6055  PDF,no,,146895 bytes,yes,1.4,,792 x 612 pts (letter),Tue Oct 21 16:13:17 2014,2
62957,,LOBIONDO FOR CONGRESS,10/13/14,10/20/14,"Lobiondo For Congress, Inc.",10/06/14,10/06/14,"SRCP Media, Inc.",Adults 35+,45,"$92,450.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Frank%20LoBiondo%20for%20Congress/LoBiondo%20for%20Congress%2062957%20Rev%200%20%2814127114339017%29.pdf,2014-10-07 15:50:00,WPVI-TV,153.46 Kb,14127114339017,pdfs/14127114339017.pdf,txts/14127114339017.txt,no,ReportBuilder,,no,,157144 bytes,yes,1.3,,612 x 792.003 pts (letter),Mon Oct  6 16:02:46 2014,4
62962,,LOBIONDO FOR CONGRESS,10/20/14,10/27/14,"Lobiondo For Congress, Inc.",10/06/14,10/06/14,"SRCP Media, Inc.",Adults 35+,46,"$95,350.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Frank%20LoBiondo%20for%20Congress/LoBiondo%20for%20Congress%2062962%20Rev%200%20%2814127114491316%29.pdf,2014-10-07 15:50:00,WPVI-TV,153.84 Kb,14127114491316,pdfs/14127114491316.pdf,txts/14127114491316.txt,no,ReportBuilder,,no,,157535 bytes,yes,1.3,,612 x 792.003 pts (letter),Mon Oct  6 16:03:52 2014,4
62962,1,LOBIONDO FOR CONGRESS,10/20/14,10/27/14,"Lobiondo For Congress, Inc.",10/06/14,10/08/14,"SRCP Media, Inc.",Adults 35+,44,"$95,350.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Frank%20LoBiondo%20for%20Congress/LoBiondo%20for%20Congress%2062962%20Rev%201%20%2814127764010158%29.pdf,2014-10-08 09:53:00,WPVI-TV,153.57 Kb,14127764010158,pdfs/14127764010158.pdf,txts/14127764010158.txt,no,ReportBuilder,,no,,157256 bytes,yes,1.3,,612 x 792.003 pts (letter),Wed Oct  8 09:18:38 2014,4
62970,,LOBIONDO FOR CONGRESS,10/27/14,11/04/14,"Lobiondo For Congress, Inc.",10/06/14,10/06/14,,Adults 35+,52,"$104,100.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Frank%20LoBiondo%20for%20Congress/LoBiondo%20for%20Congress%2062970%20Rev%200%20%2814127114651603%29.pdf,2014-10-07 15:51:00,WPVI-TV,176.25 Kb,14127114651603,pdfs/14127114651603.pdf,txts/14127114651603.txt,no,ReportBuilder,,no,,180476 bytes,yes,1.3,,612 x 792.003 pts (letter),Mon Oct  6 16:02:14 2014,5
62970,1,LOBIONDO FOR CONGRESS,10/27/14,11/04/14,"Lobiondo For Congress, Inc.",10/06/14,10/08/14,,Adults 35+,50,"$104,100.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Frank%20LoBiondo%20for%20Congress/LoBiondo%20for%20Congress%2062970%20Rev%201%20%2814127764082942%29.pdf,2014-10-08 09:53:00,WPVI-TV,153.62 Kb,14127764082942,pdfs/14127764082942.pdf,txts/14127764082942.txt,no,ReportBuilder,,no,,157307 bytes,yes,1.3,,612 x 792.003 pts (letter),Wed Oct  8 09:16:48 2014,4
63873,,LOBIONDO FOR CONGRESS,10/28/14,11/04/14,"Lobiondo For Congress, Inc.",10/13/14,10/14/14,"SRCP Media, Inc.",Adults 35+,50,"$104,100.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Frank%20LoBiondo%20for%20Congress/LoBiondo%20for%20Congress%2063873%20Rev%200%20%2814133180032582%29.pdf,2014-10-14 16:20:00,WPVI-TV,153.71 Kb,14133180032582,pdfs/14133180032582.pdf,txts/14133180032582.txt,no,ReportBuilder,,no,,157401 bytes,yes,1.3,,612 x 792.003 pts (letter),Tue Oct 14 09:31:58 2014,4
63873,1,LOBIONDO FOR CONGRESS,10/28/14,11/04/14,"Lobiondo For Congress, Inc.",10/13/14,10/28/14,"SRCP Media, Inc.",Adults 35+,50,"$103,900.00",CONTRACT,https://stations.fcc.gov/collect/files/8616/Political%20File/2014/Federal/US%20House/NJ/Frank%20LoBiondo%20for%20Congress/LoBiondo%20for%20Congress%2063873%20Rev%201%20%2814146109588437%29.pdf,2014-10-29 15:29:00,WPVI-TV,153.75 Kb,14146109588437,pdfs/14146109588437.pdf,txts/14146109588437.txt,no,ReportBuilder,,no,,157444 bytes,yes,1.3,,612 x 792.003 pts (letter),Tue Oct 28 16:54:24 2014,4
