"This file contains political files uploaded by KYW-TV during the years 2014 as of 2014-11-06 16:30:29.302013. This station serves PHILADELPHIA, PA in the PHILADELPHIA market and FCC's partyName--generally the owner-- is CBS BROADCASTING INC.. FCC records give the rfChannel as 26, virtualChannel as 3 and network affiiliate as CBS."
filetype,order_number,print_date,agency_name,advertiser_name,agency_contact,product,flight_date_start,flight_date_end,number_of_spots,gross_amount,file_url,upload_time,callsign,file_size,fcc_id,pdf_location,txt_location,Tagged,Producer,Creator,Encrypted,Author,File size,Optimized,PDF version,Title,Page size,CreationDate,Pages
order,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/AIMEE%20BELGARD/KYW%20AIMEE%20BELGARD%20D%20HOUSE%2DNJ%2DCD%2D3%20ORD92221%20FED%20ORDER%20%2814135514446466%29.pdf,2014-10-17 09:10:00,KYW-TV,29.41 Kb,14135514446466,pdfs/14135514446466.pdf,txts/14135514446466.txt,no,Microsoft Reporting Services PDF Rendering Extension 10.0.0.0,Microsoft Reporting Services 10.0.0.0,no,,30112 bytes,yes,1.3,Order Item Summary Multi,612 x 792 pts (letter),Fri Oct 17 09:00:47 2014,2
contract,1041-92236-1,10/17/14,"GMMB, INC.",BELGARD FOR CONGRESS,Maura GILROY, 3873,10/21/14,10/26/14,4,3615.00,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/AIMEE%20BELGARD/KYW%20AIMEE%20BELGARD%20D%20HOUSE%2DNJ%2DCD%2D3%20ORD92236%20FED%20CONTRACT%20%2814138294990688%29.pdf,2014-10-20 14:24:00,KYW-TV,75.66 Kb,14138294990688,pdfs/14138294990688.pdf,txts/14138294990688.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,dhobson,77474 bytes,no,1.3,WWJ SENATE MAJORITY PAC D NA BASEFILE ISSUE PIQ ADDENDUM,612 x 792 pts (letter),Mon Oct 20 09:33:33 2014,1
invoice,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/AIMEE%20BELGARD/KYW%20AIMEE%20BELGARD%20D%20HOUSE%2DNJ%2DCD%2D3%20ORD92236%20FED%20INVOICE%20%2814150377904757%29.pdf,2014-11-03 13:03:00,KYW-TV,51.17 Kb,14150377904757,pdfs/14150377904757.pdf,txts/14150377904757.txt,no,PDFsharp 1.2.1269-g (www.pdfsharp.com),PDFsharp 1.2.1269-g (www.pdfsharp.com),no,,52403 bytes,yes,1.6,,792 x 612 pts (letter),Mon Nov  3 13:00:49 2014,3
order,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/AIMEE%20BELGARD/KYW%20AIMEE%20BELGARD%20D%20HOUSE%2DNJ%2DCD%2D3%20ORD92236%20FED%20ORDER%20%2814138294985233%29.pdf,2014-10-20 14:24:00,KYW-TV,25.26 Kb,14138294985233,pdfs/14138294985233.pdf,txts/14138294985233.txt,no,Microsoft Reporting Services PDF Rendering Extension 10.0.0.0,Microsoft Reporting Services 10.0.0.0,no,,25869 bytes,yes,1.3,Order Item Summary Multi,612 x 792 pts (letter),Mon Oct 20 09:32:56 2014,1
contract,1041-92421-1,10/27/14,"GMMB, INC.",BELGARD FOR CONGRESS,Maura GILROY, 3238,10/28/14,11/03/14,11,9340.00,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/AIMEE%20BELGARD/KYW%20AIMEE%20BELGARD%20D%20HOUSE%2DNJ%2DCD%2D3%20ORD92421%20FED%20CONTRACT%20%2814145154728689%29.pdf,2014-10-28 12:57:00,KYW-TV,81.87 Kb,14145154728689,pdfs/14145154728689.pdf,txts/14145154728689.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,dhobson,83838 bytes,no,1.3,WWJ SENATE MAJORITY PAC D NA BASEFILE ISSUE PIQ ADDENDUM,612 x 792 pts (letter),Tue Oct 28 12:26:39 2014,2
order,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/AIMEE%20BELGARD/KYW%20AIMEE%20BELGARD%20D%20HOUSE%2DNJ%2DCD%2D3%20ORD92421%20FED%20ORDER%20%2814145154725639%29.pdf,2014-10-28 12:57:00,KYW-TV,31.02 Kb,14145154725639,pdfs/14145154725639.pdf,txts/14145154725639.txt,no,Microsoft Reporting Services PDF Rendering Extension 10.0.0.0,Microsoft Reporting Services 10.0.0.0,no,,31765 bytes,yes,1.3,Order Item Summary Multi,612 x 792 pts (letter),Tue Oct 28 12:26:01 2014,2
contract,1041-92431-1,10/28/14,"GMMB, INC.",BELGARD FOR CONGRESS,Maura GILROY, 3976,10/29/14,11/03/14,30,19900.00,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/AIMEE%20BELGARD/KYW%20AIMEE%20BELGARD%20D%20HOUSE%2DNJ%2DCD%2D3%20ORD92431%20FED%20CONTRACT%20%2814145944379572%29.pdf,2014-10-29 10:53:00,KYW-TV,82.80 Kb,14145944379572,pdfs/14145944379572.pdf,txts/14145944379572.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,dhobson,84786 bytes,no,1.3,WWJ SENATE MAJORITY PAC D NA BASEFILE ISSUE PIQ ADDENDUM,612 x 792 pts (letter),Wed Oct 29 10:32:26 2014,2
order,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/AIMEE%20BELGARD/KYW%20AIMEE%20BELGARD%20D%20HOUSE%2DNJ%2DCD%2D3%20ORD92431%20FED%20ORDER%20%2814145944375723%29.pdf,2014-10-29 10:53:00,KYW-TV,36.24 Kb,14145944375723,pdfs/14145944375723.pdf,txts/14145944375723.txt,no,Microsoft Reporting Services PDF Rendering Extension 10.0.0.0,Microsoft Reporting Services 10.0.0.0,no,,37113 bytes,yes,1.3,Order Item Summary Multi,612 x 792 pts (letter),Wed Oct 29 10:31:03 2014,3
contract,1041-92454-1,10/30/14,"GMMB, INC.",BELGARD FOR CONGRESS, , D HOUSE NJ 3,11/02/14,11/03/14,3,7240.00,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/AIMEE%20BELGARD/KYW%20AIMEE%20BELGARD%20D%20HOUSE%2DNJ%2DCD%2D3%20ORD92454%20FED%20CONTRACT%20%2814146802235608%29.pdf,2014-10-30 10:43:00,KYW-TV,75.75 Kb,14146802235608,pdfs/14146802235608.pdf,txts/14146802235608.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,dhobson,77569 bytes,no,1.3,WWJ SENATE MAJORITY PAC D NA BASEFILE ISSUE PIQ ADDENDUM,612 x 792 pts (letter),Thu Oct 30 10:17:11 2014,1
order,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/AIMEE%20BELGARD/KYW%20AIMEE%20BELGARD%20D%20HOUSE%2DNJ%2DCD%2D3%20ORD92454%20FED%20ORDER%20%2814146802242515%29.pdf,2014-10-30 10:43:00,KYW-TV,24.24 Kb,14146802242515,pdfs/14146802242515.pdf,txts/14146802242515.txt,no,Microsoft Reporting Services PDF Rendering Extension 10.0.0.0,Microsoft Reporting Services 10.0.0.0,no,,24825 bytes,yes,1.3,Order Item Summary Multi,612 x 792 pts (letter),Thu Oct 30 10:17:23 2014,1
contract,1041-92171-2,10/10/14,"GMMB, INC.",DCCC/BELGARD FOR CONGRESS, , D HOUSE NJ 3 #3814,10/13/14,10/20/14,26,12950.00,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/DCCC%2DAIMEE%20BELGARD/KYW%20DCCC%2DAIMEE%20BELGARD%20D%20HOUSE%2DNJ%2DCD%2D3%20ORD92171%20FED%20CONTRACT%20%2814132131931765%29.pdf,2014-10-13 11:13:00,KYW-TV,82.63 Kb,14132131931765,pdfs/14132131931765.pdf,txts/14132131931765.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,dhobson,84609 bytes,no,1.3,WWJ SENATE MAJORITY PAC D NA BASEFILE ISSUE PIQ ADDENDUM,612 x 792 pts (letter),Mon Oct 13 10:51:32 2014,2
order,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/DCCC%2DAIMEE%20BELGARD/KYW%20DCCC%2DAIMEE%20BELGARD%20D%20HOUSE%2DNJ%2DCD%2D3%20ORD92171%20FED%20ORDER%20%2814132131934080%29.pdf,2014-10-13 11:13:00,KYW-TV,34.06 Kb,14132131934080,pdfs/14132131934080.pdf,txts/14132131934080.txt,no,Microsoft Reporting Services PDF Rendering Extension 10.0.0.0,Microsoft Reporting Services 10.0.0.0,no,,34874 bytes,yes,1.3,Order Item Summary Multi,612 x 792 pts (letter),Mon Oct 13 10:50:30 2014,3
other,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/TOM%20MACARTHUR/KYW%20TOM%20MACARTHUR%20R%20HOUSE%2DNJ%2DCD%2D3%20BASEFILE%20FED%20NAB2%20UPDATED%209.12.14%20%2814105336198572%29.pdf,2014-09-12 10:53:00,KYW-TV,701.02 Kb,14105336198572,pdfs/14105336198572.pdf,txts/14105336198572.txt,no,,,no,,717840 bytes,yes,1.3,,612 x 792 pts (letter),,3
other,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/TOM%20MACARTHUR/KYW%20TOM%20MACARTHUR%20R%20HOUSE%2DNJ%2DCD%2D3%20BASEFILE%20FED%20PIQ2%20UPDATED%209.12.14%20%2814105336184382%29.pdf,2014-09-12 10:53:00,KYW-TV,57.24 Kb,14105336184382,pdfs/14105336184382.pdf,txts/14105336184382.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,dhobson,58615 bytes,no,1.3,WWJ SENATE MAJORITY PAC D NA BASEFILE ISSUE PIQ ADDENDUM,612 x 792 pts (letter),Fri Sep 12 09:23:51 2014,1
invoice,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/TOM%20MACARTHUR/KYW%20TOM%20MACARTHUR%20R%20HOUSE%2DNJ%2DCD%2D3%20ORD91668%20FED%20INVOICE1%20%2814133028614012%29.pdf,2014-10-14 12:07:00,KYW-TV,70.49 Kb,14133028614012,pdfs/14133028614012.pdf,txts/14133028614012.txt,no,PDFsharp 1.2.1269-g (www.pdfsharp.com),PDFsharp 1.2.1269-g (www.pdfsharp.com),no,,72185 bytes,yes,1.6,,792 x 612 pts (letter),Tue Oct 14 12:03:10 2014,6
invoice,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/TOM%20MACARTHUR/KYW%20TOM%20MACARTHUR%20R%20HOUSE%2DNJ%2DCD%2D3%20ORD91668%20FED%20INVOICE2%20%2814133028611046%29.pdf,2014-10-14 12:07:00,KYW-TV,56.77 Kb,14133028611046,pdfs/14133028611046.pdf,txts/14133028611046.txt,no,PDFsharp 1.2.1269-g (www.pdfsharp.com),PDFsharp 1.2.1269-g (www.pdfsharp.com),no,,58136 bytes,yes,1.6,,792 x 612 pts (letter),Tue Oct 14 12:03:48 2014,4
order,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/TOM%20MACARTHUR/KYW%20TOM%20MACARTHUR%20R%20HOUSE%2DNJ%2DCD%2D3%20ORD91668%20FED%20ORDER%20%2814105336187638%29.pdf,2014-09-12 10:53:00,KYW-TV,34.24 Kb,14105336187638,pdfs/14105336187638.pdf,txts/14105336187638.txt,no,Microsoft Reporting Services PDF Rendering Extension 10.0.0.0,Microsoft Reporting Services 10.0.0.0,no,,35066 bytes,yes,1.3,Order Item Summary Multi,612 x 792 pts (letter),Fri Sep 12 08:55:42 2014,3
contract,1041-91668-1,09/11/14,POLITICAL COMMUNICATIONS,TOM MACARTHUR FOR CONGRESS INC, , Tom MacArthur - NJ CD 3,09/15/14,10/03/14,150,45270.00,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/TOM%20MACARTHUR/KYW%20TOM%20MACARTHUR%20R%20HOUSE%2DNJ%2DCD%2D3%20ORD91668%20FED%20TRACT%20%2814105336192933%29.pdf,2014-09-12 10:53:00,KYW-TV,82.65 Kb,14105336192933,pdfs/14105336192933.pdf,txts/14105336192933.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,dhobson,84629 bytes,no,1.3,WWJ SENATE MAJORITY PAC D NA BASEFILE ISSUE PIQ ADDENDUM,612 x 792 pts (letter),Fri Sep 12 08:58:41 2014,2
contract,1041-92138-1,10/07/14,POLITICAL COMMUNICATIONS,TOM MACARTHUR FOR CONGRESS INC,Kevin HINES, R HOUSE NJ 3,10/08/14,10/10/14,16,6765.00,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/TOM%20MACARTHUR/KYW%20TOM%20MACARTHUR%20R%20HOUSE%2DNJ%2DCD%2D3%20ORD92138%20FED%20CONTRACT%20%2814127860366724%29.pdf,2014-10-08 12:33:00,KYW-TV,81.57 Kb,14127860366724,pdfs/14127860366724.pdf,txts/14127860366724.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,dhobson,83524 bytes,no,1.3,WWJ SENATE MAJORITY PAC D NA BASEFILE ISSUE PIQ ADDENDUM,612 x 792 pts (letter),Wed Oct  8 12:18:12 2014,2
invoice,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/TOM%20MACARTHUR/KYW%20TOM%20MACARTHUR%20R%20HOUSE%2DNJ%2DCD%2D3%20ORD92138%20FED%20INVOICE%20%2814133028621859%29.pdf,2014-10-14 12:07:00,KYW-TV,56.32 Kb,14133028621859,pdfs/14133028621859.pdf,txts/14133028621859.txt,no,PDFsharp 1.2.1269-g (www.pdfsharp.com),PDFsharp 1.2.1269-g (www.pdfsharp.com),no,,57670 bytes,yes,1.6,,792 x 612 pts (letter),Tue Oct 14 12:02:36 2014,4
order,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/TOM%20MACARTHUR/KYW%20TOM%20MACARTHUR%20R%20HOUSE%2DNJ%2DCD%2D3%20ORD92138%20FED%20ORDER%20%2814127860360029%29.pdf,2014-10-08 12:33:00,KYW-TV,29.66 Kb,14127860360029,pdfs/14127860360029.pdf,txts/14127860360029.txt,no,Microsoft Reporting Services PDF Rendering Extension 10.0.0.0,Microsoft Reporting Services 10.0.0.0,no,,30368 bytes,yes,1.3,Order Item Summary Multi,612 x 792 pts (letter),Wed Oct  8 12:17:38 2014,2
contract,1041-92186-1,10/10/14,POLITICAL COMMUNICATIONS,TOM MACARTHUR FOR CONGRESS INC,Jim MCDANIELS, EST 345,10/13/14,10/19/14,58,45775.00,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/TOM%20MACARTHUR/KYW%20TOM%20MACARTHUR%20R%20HOUSE%2DNJ%2DCD%2D3%20ORD92186%20FED%20CONTRACT%20%2814132134908059%29.pdf,2014-10-13 11:18:00,KYW-TV,82.59 Kb,14132134908059,pdfs/14132134908059.pdf,txts/14132134908059.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,dhobson,84571 bytes,no,1.3,WWJ SENATE MAJORITY PAC D NA BASEFILE ISSUE PIQ ADDENDUM,612 x 792 pts (letter),Mon Oct 13 10:56:02 2014,2
invoice,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/TOM%20MACARTHUR/KYW%20TOM%20MACARTHUR%20R%20HOUSE%2DNJ%2DCD%2D3%20ORD92186%20FED%20INVOICE%20%2814150370383590%29.pdf,2014-11-03 12:50:00,KYW-TV,88.27 Kb,14150370383590,pdfs/14150370383590.pdf,txts/14150370383590.txt,no,PDFsharp 1.2.1269-g (www.pdfsharp.com),PDFsharp 1.2.1269-g (www.pdfsharp.com),no,,90388 bytes,yes,1.6,,792 x 612 pts (letter),Mon Nov  3 12:48:33 2014,9
order,,,,,,,,,,,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/TOM%20MACARTHUR/KYW%20TOM%20MACARTHUR%20R%20HOUSE%2DNJ%2DCD%2D3%20ORD92186%20FED%20ORDER%20%2814132134905846%29.pdf,2014-10-13 11:18:00,KYW-TV,37.96 Kb,14132134905846,pdfs/14132134905846.pdf,txts/14132134905846.txt,no,Microsoft Reporting Services PDF Rendering Extension 10.0.0.0,Microsoft Reporting Services 10.0.0.0,no,,38874 bytes,yes,1.3,Order Item Summary Multi,612 x 792 pts (letter),Mon Oct 13 10:55:45 2014,4
contract,1041-92253-1,10/17/14,POLITICAL COMMUNICATIONS,TOM MACARTHUR FOR CONGRESS INC,Jim MCDANIELS, R HOUSE NJ 3,10/20/14,10/26/14,48,45775.00,https://stations.fcc.gov/collect/files/25453/Political%20File/2014/Federal/US%20House/NJ%20CD%2D3/TOM%20MACARTHUR/KYW%20TOM%20MACARTHUR%20R%20HOUSE%2DNJ%2DCD%2D3%20ORD92253%20FED%20CONTRACT%20%2814138298626062%29.pdf,2014-10-20 14:31:00,KYW-TV,82.05 Kb,14138298626062,pdfs/14138298626062.pdf,txts/14138298626062.txt,no,Nitro PDF PrimoPDF,PrimoPDF http://www.primopdf.com,no,dhobson,84022 bytes,no,1.3,WWJ SENATE MAJORITY PAC D NA BASEFILE ISSUE PIQ ADDENDUM,612 x 792 pts (letter),Mon Oct 20 09:38:15 2014,2
