"This file contains political files uploaded by WCAU during the years 2014 as of 2014-11-19 23:03:16.352022. This station serves PHILADELPHIA, PA in the PHILADELPHIA market and FCC's partyName--generally the owner-- is NBC TELEMUNDO LICENSE LLC. FCC records give the rfChannel as 34, virtualChannel as 10 and network affiiliate as NBC."
order_number,product,flight_date_start,flight_date_end,advertiser,original_date,revision_date,agency_name,demographic,spots,gross,contract_type,file_url,upload_time,callsign,file_size,fcc_id,pdf_location,txt_location,Tagged,Producer,Creator,Encrypted,Author,File size,Optimized,PDF version,Title,Page size,CreationDate,Pages
466168,Political,04/29/14,05/05/14,DAYLIN FOR CONGRESS,05/27/14,05/27/14,BUYING TIME MEDIA,RA35+,39,"$22,775.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/DAYLIN%20FOR%20CONGRESS/Updated%20Daylin466168%2D%2D1%20%2814013032040432%29.pdf,2014-05-28 14:53:00,WCAU,47.82 Kb,14013032040432,pdfs/14013032040432.pdf,txts/14013032040432.txt,no,ReportBuilder,ReportBuilder,no,,48969 bytes,no,1.3,,612 x 792.003 pts (letter),Tue May 27 16:54:58 2014,4
467102,Political,05/06/14,05/12/14,DAYLIN FOR CONGRESS,05/27/14,05/27/14,BUYING TIME MEDIA,RA35+,43,"$23,775.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/DAYLIN%20FOR%20CONGRESS/Updated%20Daylin467102%2D%2D1%20%2814013046967652%29.pdf,2014-05-28 15:18:00,WCAU,50.31 Kb,14013046967652,pdfs/14013046967652.pdf,txts/14013046967652.txt,no,ReportBuilder,ReportBuilder,no,,51522 bytes,no,1.3,,612 x 792.003 pts (letter),Tue May 27 16:49:27 2014,4
467921,Political,05/07/14,05/13/14,DAYLIN FOR CONGRESS,05/27/14,05/27/14,BUYING TIME MEDIA,RA35+,2,"$3,600.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/DAYLIN%20FOR%20CONGRESS/Updated%20Daylin467921%2D%2D1%20%2814013047465084%29.pdf,2014-05-28 15:19:00,WCAU,15.62 Kb,14013047465084,pdfs/14013047465084.pdf,txts/14013047465084.txt,no,ReportBuilder,ReportBuilder,no,,15994 bytes,no,1.3,,612 x 792.003 pts (letter),Tue May 27 16:44:02 2014,1
468544,Political,05/13/14,05/20/14,DAYLIN FOR CONGRESS,05/27/14,05/27/14,BUYING TIME MEDIA,RA35+,45,"$29,100.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/DAYLIN%20FOR%20CONGRESS/Updated%20Daylin468544%2D%2D1%20%2814013047779759%29.pdf,2014-05-28 15:19:00,WCAU,52.21 Kb,14013047779759,pdfs/14013047779759.pdf,txts/14013047779759.txt,no,ReportBuilder,ReportBuilder,no,,53467 bytes,no,1.3,,612 x 792.003 pts (letter),Tue May 27 16:36:04 2014,4
469743,Political,05/18/14,05/19/14,DAYLIN FOR CONGRESS,05/15/14,05/27/14,BUYING TIME MEDIA,RA35+,4,"$3,075.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/DAYLIN%20FOR%20CONGRESS/Updated%20Daylin469743%2D%2D1%20%2814013048264913%29.pdf,2014-05-28 15:20:00,WCAU,22.00 Kb,14013048264913,pdfs/14013048264913.pdf,txts/14013048264913.txt,no,ReportBuilder,ReportBuilder,no,,22523 bytes,no,1.3,,612 x 792.003 pts (letter),Tue May 27 16:27:41 2014,2
468330,Political,05/08/14,05/13/14,DAYLIN FOR CONGRESS,05/27/14,05/27/14,BUYING TIME MEDIA,RA35+,3,$900.00,CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/DAYLIN%20FOR%20CONGRESS/Updates%20Daylin468330%2D%2D1%20%2814013048524409%29.pdf,2014-05-28 15:20:00,WCAU,16.24 Kb,14013048524409,pdfs/14013048524409.pdf,txts/14013048524409.txt,no,ReportBuilder,ReportBuilder,no,,16634 bytes,no,1.3,,612 x 792.003 pts (letter),Tue May 27 16:38:32 2014,1
505082,candidate,10/14/14,10/22/14,DCCC/BELGARD,10/13/14,10/21/14,GMMB,RA35+,21,"$16,350.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/DCCCBELGARD/DCCC_Belgard505082%2D%2D1%20%2814146027676615%29.pdf,2014-10-29 13:12:00,WCAU,33.22 Kb,14146027676615,pdfs/14146027676615.pdf,txts/14146027676615.txt,no,ReportBuilder,,no,,34014 bytes,no,1.3,,612 x 792.003 pts (letter),Wed Oct 29 13:12:37 2014,3
,,,,,,,,,,,,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/DCCCBELGARD/gmmb1%20dccc%2Dbelgard%20inquiry%20NBCOTS%20Political%20Inquiry%20Record%2DCandidate%20Ads%202014%20%2814146028741333%29.pdf,2014-10-29 13:14:00,WCAU,1.29 Mb,14146028741333,pdfs/14146028741333.pdf,txts/14146028741333.txt,yes,Adobe PDF Library 11.0,Acrobat PDFMaker 11 for Word,no,A Valued Microsoft Customer,1352569 bytes,yes,1.6,NBC 4/ LOS ANGELES,612 x 792 pts (letter),Thu May 22 09:00:04 2014,2
499250,Political,10/07/14,10/17/14,DONALD NORCROSS FOR CONGRESS,09/22/14,10/28/14,CAMPAIGN GROUP,RA35+,33,"$23,150.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/DONALD%20NORCROSS/Donald%20Norcross499250%2D%2D1%20%2814146106647266%29.pdf,2014-10-29 15:24:00,WCAU,33.68 Kb,14146106647266,pdfs/14146106647266.pdf,txts/14146106647266.txt,no,ReportBuilder,,no,,34492 bytes,no,1.3,,612 x 792.003 pts (letter),Wed Oct 29 09:46:56 2014,3
499279,Political,10/07/14,10/13/14,DONALD NORCROSS FOR CONGRESS,09/22/14,10/28/14,CAMPAIGN GROUP,RA35+,11,"$18,825.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/DONALD%20NORCROSS/Donald%20Norcross499279%2D%2D1%20%2814146106909033%29.pdf,2014-10-29 15:24:00,WCAU,23.40 Kb,14146106909033,pdfs/14146106909033.pdf,txts/14146106909033.txt,no,ReportBuilder,,no,,23966 bytes,no,1.3,,612 x 792.003 pts (letter),Wed Oct 29 09:42:39 2014,2
499287,Political,10/14/14,11/02/14,DONALD NORCROSS FOR CONGRESS,10/27/14,10/27/14,CAMPAIGN GROUP,RA35+,69,"$71,775.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/DONALD%20NORCROSS/Donald%20Norcross499287%2D%2D1%20%2814146107107614%29.pdf,2014-10-29 15:25:00,WCAU,55.20 Kb,14146107107614,pdfs/14146107107614.pdf,txts/14146107107614.txt,no,ReportBuilder,,no,,56520 bytes,no,1.3,,612 x 792.003 pts (letter),Mon Oct 27 11:48:46 2014,5
499578,Political,10/28/14,11/04/14,DONALD NORCROSS FOR CONGRESS,10/31/14,10/31/14,CAMPAIGN GROUP,RA35+,50,"$88,775.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/DONALD%20NORCROSS/Donald%20Norcross499578%2D%2D1%20%2814147901988775%29.pdf,2014-10-31 17:16:00,WCAU,45.60 Kb,14147901988775,pdfs/14147901988775.pdf,txts/14147901988775.txt,no,ReportBuilder,,no,,46695 bytes,no,1.3,,612 x 792.003 pts (letter),Fri Oct 31 14:50:05 2014,4
503488,Political,10/12/14,10/24/14,DONALD NORCROSS FOR CONGRESS,10/22/14,10/22/14,CAMPAIGN GROUP,RA35+,15,"$18,775.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/DONALD%20NORCROSS/Donald%20Norcross503488%20%2814146108134166%29.pdf,2014-10-29 15:26:00,WCAU,32.41 Kb,14146108134166,pdfs/14146108134166.pdf,txts/14146108134166.txt,no,Toolkit http://www.activepdf.com,Toolkit http://www.activepdf.com,no,,33184 bytes,no,1.4,,612 x 792.003 pts (letter),Wed Oct 22 15:35:19 2014,2
505311,Political,10/15/14,10/20/14,DONALD NORCROSS FOR CONGRESS,10/14/14,10/28/14,CAMPAIGN GROUP,RA35+,22,"$22,100.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/DONALD%20NORCROSS/Donald%20Norcross505311%2D%2D1%20%2814146108342759%29.pdf,2014-10-29 15:27:00,WCAU,35.51 Kb,14146108342759,pdfs/14146108342759.pdf,txts/14146108342759.txt,no,ReportBuilder,,no,,36360 bytes,no,1.3,,612 x 792.003 pts (letter),Wed Oct 29 09:56:43 2014,3
506741,Political,10/21/14,10/26/14,DONALD NORCROSS FOR CONGRESS,10/23/14,10/23/14,CAMPAIGN GROUP,RA35+,26,"$24,375.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/DONALD%20NORCROSS/Donald%20Norcross506741%2D%2D1%20%2814146108496738%29.pdf,2014-10-29 15:27:00,WCAU,23.88 Kb,14146108496738,pdfs/14146108496738.pdf,txts/14146108496738.txt,no,ReportBuilder,,no,,24453 bytes,no,1.3,,612 x 792.003 pts (letter),Thu Oct 23 10:35:23 2014,2
498586,candidate,10/21/14,10/27/14,KEVIN STROUSE FOR CONGRESS,09/19/14,09/19/14,GMMB,RA35+,31,"$43,400.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/KEVIN%20STROUSE%20FOR%20CONGRESS/Kevin%20Strouse%204%20Cong498586%2D%2D1%20%2814111647548688%29.pdf,2014-09-19 18:12:00,WCAU,34.50 Kb,14111647548688,pdfs/14111647548688.pdf,txts/14111647548688.txt,no,ReportBuilder,ReportBuilder,no,,35328 bytes,no,1.3,,612 x 792.003 pts (letter),Fri Sep 19 13:54:37 2014,3
498612,candidate,10/28/14,11/03/14,KEVIN STROUSE FOR CONGRESS,09/19/14,10/01/14,GMMB,RA35+,0,$0.00,CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/KEVIN%20STROUSE%20FOR%20CONGRESS/Kevin%20Strouse498612%2D%2D1%20%2814146036739641%29.pdf,2014-10-29 13:27:00,WCAU,23.20 Kb,14146036739641,pdfs/14146036739641.pdf,txts/14146036739641.txt,no,ReportBuilder,,no,,23752 bytes,no,1.3,,612 x 792.003 pts (letter),Wed Oct 29 13:26:01 2014,2
503032,Tu-Mon wk,10/14/14,10/26/14,LOBIONDO FOR CONGRESS,10/03/14,10/28/14,SRCPMEDIA,RA35+,36,"$27,325.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/LOBIONDO%20FOR%20CONGRESS/LoBiondo503032%2D%2D1%20%2814146127786664%29.pdf,2014-10-29 15:59:00,WCAU,34.78 Kb,14146127786664,pdfs/14146127786664.pdf,txts/14146127786664.txt,no,ReportBuilder,,no,,35616 bytes,no,1.3,,612 x 792.003 pts (letter),Wed Oct 29 09:59:23 2014,3
503072,Tu-Mon wk,10/21/14,10/27/14,LOBIONDO FOR CONGRESS,10/03/14,10/24/14,SRCPMEDIA,RA35+,40,"$29,275.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/LOBIONDO%20FOR%20CONGRESS/LoBiondo503072%2D%2D1%20%2814146128040348%29.pdf,2014-10-29 16:00:00,WCAU,32.70 Kb,14146128040348,pdfs/14146128040348.pdf,txts/14146128040348.txt,no,ReportBuilder,,no,,33482 bytes,no,1.3,,612 x 792.003 pts (letter),Mon Oct 27 12:59:41 2014,3
503084,8 dasy 12n cut off 11/4,10/28/14,11/04/14,LOBIONDO FOR CONGRESS,10/31/14,10/31/14,SRCPMEDIA,RM35+,42,"$34,350.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/LOBIONDO%20FOR%20CONGRESS/loBiondo503084%2D%2D1%20%2814147903006093%29.pdf,2014-10-31 17:18:00,WCAU,33.86 Kb,14147903006093,pdfs/14147903006093.pdf,txts/14147903006093.txt,no,ReportBuilder,,no,,34671 bytes,no,1.3,,612 x 792.003 pts (letter),Fri Oct 31 15:01:57 2014,3
,,,,,,,,,,,,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/LOBIONDO%20FOR%20CONGRESS/srcp%20lobiono%20inquiry%20%2D%20NBCOTS%20Political%20Inquiry%20Record%2DCandidate%20Ads%202014%20%2814146118682612%29.pdf,2014-10-29 15:44:00,WCAU,1.18 Mb,14146118682612,pdfs/14146118682612.pdf,txts/14146118682612.txt,yes,Toolkit http://www.activepdf.com,Toolkit http://www.activepdf.com,no,,1234271 bytes,no,1.4,,612 x 792 pts (letter),Fri Oct  3 18:23:10 2014,2
506479,Political,10/20/14,10/26/14,MACARTHUR FOR CONGRESS INC,10/22/14,10/22/14,PCA,RA35+,91,"$79,150.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/MACARTHUR%20FOR%20CONGRESS/MacArthur506479%2D%2D1%20%2814146050084790%29.pdf,2014-10-29 13:50:00,WCAU,34.84 Kb,14146050084790,pdfs/14146050084790.pdf,txts/14146050084790.txt,no,ReportBuilder,,no,,35677 bytes,no,1.3,,612 x 792.003 pts (letter),Wed Oct 22 17:04:39 2014,3
471315,NJ CD 3,05/22/14,05/28/14,MACARTHUR FOR CONGRESS INC,05/22/14,05/22/14,PCA,RA1849,25,"$17,725.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/MACARTHUR%20FOR%20CONGRESS/Macarthur%20318%20Revd%20%20471315%2D%2D1%2014008053646033_%20%2814146047324671%29.pdf,2014-10-29 13:45:00,WCAU,38.44 Kb,14146047324671,pdfs/14146047324671.pdf,txts/14146047324671.txt,no,Toolkit http://www.activepdf.com,Toolkit http://www.activepdf.com,no,,39363 bytes,no,1.4,,612 x 792.003 pts (letter),Thu May 22 20:35:14 2014,3
496346,Political,09/15/14,10/03/14,MACARTHUR FOR CONGRESS INC,09/11/14,09/12/14,PCA,RA35+,75,"$52,875.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/MACARTHUR%20FOR%20CONGRESS/Macarthur%204%20Congress496346%2D%2D1%20%2814146049352553%29.pdf,2014-10-29 13:48:00,WCAU,22.08 Kb,14146049352553,pdfs/14146049352553.pdf,txts/14146049352553.txt,no,ReportBuilder,,no,,22606 bytes,no,1.3,,612 x 792.003 pts (letter),Wed Oct 29 13:48:38 2014,2
503746,Political,10/08/14,10/10/14,MACARTHUR FOR CONGRESS INC,10/07/14,10/28/14,PCA,RA35+,12,"$7,400.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/MACARTHUR%20FOR%20CONGRESS/Macarthur%204%20Congress503746%2D%2D1%20%2814146049554553%29.pdf,2014-10-29 13:49:00,WCAU,21.74 Kb,14146049554553,pdfs/14146049554553.pdf,txts/14146049554553.txt,no,ReportBuilder,,no,,22265 bytes,no,1.3,,612 x 792.003 pts (letter),Wed Oct 29 09:53:33 2014,2
504874,Political,10/13/14,10/19/14,MACARTHUR FOR CONGRESS INC,10/10/14,10/28/14,PCA,RA35+,58,"$54,650.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/MACARTHUR%20FOR%20CONGRESS/Macarthur%204%20Congress504874%2D%2D1%20%2814146059864899%29.pdf,2014-10-29 14:06:00,WCAU,28.61 Kb,14146059864899,pdfs/14146059864899.pdf,txts/14146059864899.txt,no,ReportBuilder,,no,,29297 bytes,no,1.3,,612 x 792.003 pts (letter),Wed Oct 29 14:02:35 2014,2
472373,NJ CD 3,05/29/14,06/03/14,MACARTHUR FOR CONGRESS INC,05/28/14,05/28/14,PCA,RA1849,14,"$10,650.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/MACARTHUR%20FOR%20CONGRESS/Macarthur%205%2D29%20rev%20%20472373%2D_%20%2814146047649040%29.pdf,2014-10-29 13:46:00,WCAU,31.70 Kb,14146047649040,pdfs/14146047649040.pdf,txts/14146047649040.txt,no,Toolkit http://www.activepdf.com,Toolkit http://www.activepdf.com,no,,32462 bytes,no,1.4,,612 x 792.003 pts (letter),Wed May 28 19:15:08 2014,2
507785,Political,10/27/14,11/04/14,MACARTHUR FOR CONGRESS INC,10/31/14,10/31/14,PCA,RA35+,66,"$54,825.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/MACARTHUR%20FOR%20CONGRESS/Macarthur507785%2D%2D1%20%2814147903807193%29.pdf,2014-10-31 17:19:00,WCAU,33.46 Kb,14147903807193,pdfs/14147903807193.pdf,txts/14147903807193.txt,no,ReportBuilder,,no,,34265 bytes,no,1.3,,612 x 792.003 pts (letter),Fri Oct 31 15:35:03 2014,3
,,,,,,,,,,,,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/MACARTHUR%20FOR%20CONGRESS/macarthur%20Political%20Inquiry%20Record%2DCandidate%20Ads%202014%20%2814146050770283%29.pdf,2014-10-29 13:51:00,WCAU,116.57 Kb,14146050770283,pdfs/14146050770283.pdf,txts/14146050770283.txt,yes,Toolkit http://www.activepdf.com,Toolkit http://www.activepdf.com,no,,119365 bytes,no,1.4,,612 x 792 pts (letter),Thu May 22 20:35:14 2014,1
467478,MM-Q2 Philadelphia,04/28/14,05/11/14,MARJORIE MARGOLIES FOR US CONGRESS,05/22/14,05/22/14,JOE SLADE WHITE C/O HULSEN MEDIA,RA1849,7,"$7,325.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/MARJORIE%20MARGOLIES%20FOR%20US%20CONGRESS/MARGOLIES%204%2D28%20%2D%20467478%2D%2D1%20%2814019048155761%29.pdf,2014-06-04 14:00:00,WCAU,22.66 Kb,14019048155761,pdfs/14019048155761.pdf,txts/14019048155761.txt,no,ReportBuilder,ReportBuilder,no,,23208 bytes,no,1.3,,612 x 792.003 pts (letter),Thu May 22 15:28:47 2014,2
469516,MM-Q2 Philadelphia,05/12/14,05/18/14,MARJORIE MARGOLIES FOR US CONGRESS,05/22/14,05/22/14,JOE SLADE WHITE C/O HULSEN MEDIA,RA1849,2,"$1,700.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/MARJORIE%20MARGOLIES%20FOR%20US%20CONGRESS/MARGOLIES%205%2D12%20%2D%20469516%2D%2D1%20%2814019049295679%29.pdf,2014-06-04 14:02:00,WCAU,16.08 Kb,14019049295679,pdfs/14019049295679.pdf,txts/14019049295679.txt,no,ReportBuilder,ReportBuilder,no,,16463 bytes,no,1.3,,612 x 792.003 pts (letter),Thu May 22 15:34:52 2014,1
469200,MM-Q2 Philadelphia,05/12/14,05/18/14,MARJORIE MARGOLIES FOR US CONGRESS,05/22/14,05/22/14,JOE SLADE WHITE C/O HULSEN MEDIA,RA1849,7,"$7,550.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/MARJORIE%20MARGOLIES%20FOR%20US%20CONGRESS/MARGOLIES%205%2D14%20%2D%20469200%2D%2D1%20%2814019049594130%29.pdf,2014-06-04 14:02:00,WCAU,16.68 Kb,14019049594130,pdfs/14019049594130.pdf,txts/14019049594130.txt,no,ReportBuilder,ReportBuilder,no,,17082 bytes,no,1.3,,612 x 792.003 pts (letter),Thu May 22 15:38:09 2014,1
469744,MM-Q2 Philadelphia,05/16/14,05/16/14,MARJORIE MARGOLIES FOR US CONGRESS,05/22/14,05/22/14,JOE SLADE WHITE C/O HULSEN MEDIA,RA1849,5,"$3,025.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/MARJORIE%20MARGOLIES%20FOR%20US%20CONGRESS/MARGOLIES%205%2D16%20%2D%20469744%2D%2D1%20%2814019049726482%29.pdf,2014-06-04 14:02:00,WCAU,17.01 Kb,14019049726482,pdfs/14019049726482.pdf,txts/14019049726482.txt,no,ReportBuilder,ReportBuilder,no,,17418 bytes,no,1.3,,612 x 792.003 pts (letter),Thu May 22 15:39:19 2014,1
469815,MM-Q2 Philadelphia,05/16/14,05/16/14,MARJORIE MARGOLIES FOR US CONGRESS,05/22/14,05/22/14,JOE SLADE WHITE C/O HULSEN MEDIA,RHH,3,"$3,300.00",CONTRACT,https://stations.fcc.gov/collect/files/63153/Political%20File/2014/Federal/US%20House/MARJORIE%20MARGOLIES%20FOR%20US%20CONGRESS/MARGOLIES%205%2D16%20%2D%20469815%2D%2D1%20%2814019049896071%29.pdf,2014-06-04 14:03:00,WCAU,16.42 Kb,14019049896071,pdfs/14019049896071.pdf,txts/14019049896071.txt,no,ReportBuilder,ReportBuilder,no,,16814 bytes,no,1.3,,612 x 792.003 pts (letter),Thu May 22 15:42:07 2014,1
